"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"17190-2","Sale","07/01/2026 5:53 PM",1,2,"2xChurros doce de leite ","20",0,0,0,"20","4","Pix","","Lucas",""
"17191-2","Sale","07/01/2026 5:55 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Pix","","Lucas",""
"17192-2","Sale","07/01/2026 5:58 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Otros","","Lucas",""
"17193-2","Sale","07/01/2026 6:07 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Pix","","Lucas",""
"17194-2","Sale","07/01/2026 6:12 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Tarjeta Débito","","Lucas",""
"17195-2","Sale","07/01/2026 6:18 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Crédito","","Lucas",""
"17196-2","Sale","07/01/2026 6:38 PM",2,2,"1xCrepe suíço salgado , 1xÁgua com gás ","14.5",0,0,0,"14.5","5.3","Pix","","Lucas",""
"17197-2","Sale","07/01/2026 6:42 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17198-2","Sale","07/01/2026 6:50 PM",1,3,"3xCasquinha ","21",0,0,0,"21","18","Tarjeta Débito","","Lucas",""
"17199-2","Sale","07/02/2026 2:10 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Crédito","","Lucas",""
"17200-2","Sale","07/02/2026 2:28 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17201-2","Sale","07/02/2026 2:39 PM",2,3,"2xCasquinha , 1xMilkshake 300ml","25",0,0,0,"25","13","Pix","","Lucas",""
"17202-2","Sale","07/02/2026 3:33 PM",1,1,"1xCopo 200ml","9",0,0,0,"9","1","Efectivo","","Lucas",""
"17203-2","Sale","07/02/2026 3:49 PM",1,2,"2xCasquinha ","14",0,0,0,"14","12","Pix","","Lucas",""
"17204-2","Sale","07/02/2026 3:57 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Débito","","Lucas",""
"17205-2","Sale","07/02/2026 4:41 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Pix","","Lucas",""
"17206-2","Sale","07/02/2026 5:03 PM",1,1,"1xMilkshake 400ml","14",0,0,0,"14","1","Tarjeta Débito","","Lucas",""
"17207-2","Sale","07/02/2026 5:04 PM",1,1,"1xCopo 150ml","7",0,0,0,"7","1","Efectivo","","Lucas",""
"17208-2","Sale","07/02/2026 5:12 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Efectivo","","Lucas",""
"17209-2","Sale","07/02/2026 5:52 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Efectivo","","Lucas",""
"17210-2","Sale","07/02/2026 5:55 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Otros","","Lucas",""
"17211-2","Sale","07/02/2026 5:57 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17212-2","Sale","07/02/2026 6:11 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Pix","","Lucas",""
"17213-2","Sale","07/02/2026 6:20 PM",1,1,"1xMilkshake 400ml","14",0,0,0,"14","1","Tarjeta Débito","","Lucas",""
"17214-2","Sale","07/02/2026 6:31 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Pix","","Lucas",""
"17215-2","Sale","07/03/2026 2:02 PM",1,1,"1xMilkshake 500ml","16",0,0,0,"16",0,"Efectivo","","Lucas",""
"17216-2","Sale","07/03/2026 2:37 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17217-2","Sale","07/03/2026 2:42 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17218-2","Sale","07/03/2026 2:48 PM",1,1,"1xCopo 200ml","9",0,0,0,"9","1","Pix","","Lucas",""
"17219-2","Sale","07/03/2026 3:00 PM",1,1,"1xCasquinha ","7",2,0,0,"5","4","Efectivo","","Lucas",""
"17220-2","Sale","07/03/2026 3:07 PM",2,2,"1xChurros doce de leite , 1xChurros de chocolate ","20",0,0,0,"20","4","Tarjeta Débito","","Lucas",""
"17221-2","Sale","07/03/2026 3:16 PM",1,1,"1xCopo 250ml","11",0,0,0,"11","1","Tarjeta Crédito","","Lucas",""
"17222-2","Sale","07/03/2026 3:20 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Pix","","Lucas",""
"17223-2","Sale","07/03/2026 3:28 PM",1,1,"1xCrepe suíço doce","11",0,0,0,"11","3","Tarjeta Débito","","Lucas",""
"17224-2","Sale","07/03/2026 3:38 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17225-2","Sale","07/03/2026 3:43 PM",2,2,"1xCrepe suíço doce, 1xChurros de chocolate ","21",0,0,0,"21","5","Tarjeta Débito","","Lucas",""
"17226-2","Sale","07/03/2026 4:04 PM",1,1,"1xRefri 310ml","7",0,0,0,"7","1","Pix","","Lucas",""
"17227-2","Sale","07/03/2026 4:22 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Tarjeta Débito","","Lucas",""
"17228-2","Sale","07/03/2026 4:36 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Pix","","Lucas",""
"17229-2","Sale","07/03/2026 4:48 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Crédito","","Lucas",""
"17230-2","Sale","07/03/2026 4:49 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Tarjeta Débito","","Lucas",""
"17231-2","Sale","07/04/2026 10:49 AM",1,1,"1xCafé preto 180ml","5",0,0,0,"5",0,"Pix","","Lucas",""
"17232-2","Sale","07/04/2026 11:24 AM",1,2,"2xMilkshake 300ml","22",0,0,0,"22","2","Tarjeta Débito","","Lucas",""
"17233-2","Sale","07/04/2026 11:25 AM",3,3,"1xMilkshake 300ml, 1xCombo 1, 1xCrepe suíço salgado ","36",0,0,0,"36","4","Tarjeta Débito","","Lucas",""
"17234-2","Sale","07/04/2026 11:34 AM",1,2,"2xÁgua sem gás ","8",0,0,0,"8",0,"Tarjeta Débito","","Lucas",""
